z_{reio} 	 sigma_8 	 n_{eff} 	 f_{UV} 	 F(z=3.0) 	 F(z=3.2) 	 F(z=3.4) 	 F(z=3.6) 	 F(z=3.8) 	 F(z=4.0) 	 F(z=4.2) 	 F(z=4.6) 	 F(z=5.0) 	 F(z=5.4) 	 T_0(z=3.0) 	 T_0(z=3.2) 	 T_0(z=3.4) 	 T_0(z=3.6) 	 T_0(z=3.8) 	 T_0(z=4.0) 	 T_0(z=4.2) 	 T_0(z=4.6) 	 T_0(z=5.0) 	 T_0(z=5.4) 	 slope(z=3.0) 	 slope(z=3.2) 	 slope(z=3.4) 	 slope(z=3.6) 	 slope(z=3.8) 	 slope(z=4.0) 	 slope(z=4.2) 	 slope(z=4.6) 	 slope(z=5.0) 	 slope(z=5.4) 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 0.8750002335 	 0.8749984807 	 0.8750002767 	 0.8750009146 	 0.8749979680 	 0.8473438644 	 0.7795876175 	 0.6072723669 	 0.4128274010 	 0.2768326659 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000000000 	 1.0000024390 	 1.0000000000 	 0.9683921479 	 0.8909590248 	 0.6940260504 	 0.4718015902 	 0.3163799518 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.1249997665 	 1.1249994936 	 1.1249997233 	 1.1250015243 	 1.1249993227 	 1.0894404314 	 1.0023273737 	 0.7807763161 	 0.5307798178 	 0.3559272377 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.3717721250 	 0.3687008693 	 0.3650898582 	 0.3606815349 	 0.3566458103 	 0.3543718858 	 0.3544795313 	 0.3647810987 	 0.3779914565 	 0.3844893546 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.3643104504 	 1.3487196567 	 1.3313593107 	 1.3119330861 	 1.2907004900 	 1.2701515156 	 1.2553448648 	 1.2615580886 	 1.3071845620 	 1.3373740520 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.5560717410 	 0.5543077926 	 0.5519034501 	 0.5487751313 	 0.5453785710 	 0.5432071723 	 0.5424419685 	 0.5484265596 	 0.5581658821 	 0.5642841070 	 1.5823949197 	 1.5687778587 	 1.5540000582 	 1.5373134481 	 1.5189355436 	 1.5012923600 	 1.4882299769 	 1.4928383595 	 1.5323047524 	 1.5594009974 
1.1250000000 	 0.8290000000 	 -3.8456666667 	 0.0000000000 	 1.2499995330 	 1.2499989871 	 1.2500016604 	 1.2500006097 	 1.2499986453 	 1.2104916548 	 1.1136987810 	 0.8675299996 	 0.5897540070 	 0.3954750785 	 0.7408408661 	 0.7406214907 	 0.7403635613 	 0.7400486811 	 0.7397604150 	 0.7395979918 	 0.7396056808 	 0.7403415070 	 0.7412851040 	 0.7417492396 	 1.0246926971 	 1.0051181719 	 0.9838750836 	 0.9598880816 	 0.9334698439 	 0.9081077675 	 0.8893305918 	 0.8959551417 	 0.9526880816 	 0.9916389337 
